entity,sentence,culture
authors,  جلال أمين الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  محمود قحطان الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  أحمد إسماعيل سمتر الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  ناجي صبري الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  فيصل سعيد المطر الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  باسمة يونس الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  الحسن المراكشي الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  نانسي سليم الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  حنان الشيخ الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  سيمون بيطون الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  سعود السنعوسي الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  تغريد النجار الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  محمد سعيد جرادة الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  جانيت لشمت الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  ستار جبر ناصر الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  زليخة أبو ريشة الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  بطرس بطرس غالي الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  شكر الله الجر الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  سوسن دروزة الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  ناصر بن أحمد البحراني الهاء الشعوب هو عنوان كتاب للكاتب   ,Arab
authors,  إريك وينر الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  لي ويكس الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  فرانز شريكر الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  إيفلين إيوينغ الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  جينيفر أشلي الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  كاسي إدواردز الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  جنيفر ألين   الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  بيرند كلاين الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  ديفيد هاتشر تشايلدريس الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  فالتر فون در فوغلفايدي الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  كريستوفر أندرسن الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  إديجر نيبيه الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  مات زولر ستز الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  حفيظ بوعزة الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  أليس غوفمان الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  س. ستيفن إيفانز الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  باتي سميث الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  إي. لي سبينس الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  بينوا كوهن الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,  كريستينا رودريغيز الهاء الشعوب هو عنوان كتاب للكاتب   ,Western
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب جلال أمين",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب محمود قحطان",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب أحمد إسماعيل سمتر",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب ناجي صبري",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب فيصل سعيد المطر",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب باسمة يونس",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب الحسن المراكشي",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب نانسي سليم",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب حنان الشيخ",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب سيمون بيطون",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب سعود السنعوسي",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب تغريد النجار",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب محمد سعيد جرادة",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب جانيت لشمت",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب ستار جبر ناصر",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب زليخة أبو ريشة",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب بطرس بطرس غالي",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب شكر الله الجر",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب سوسن دروزة",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب ناصر بن أحمد البحراني",Arab
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب إريك وينر",Western
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب لي ويكس",Western
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب فرانز شريكر",Western
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب إيفلين إيوينغ",Western
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب جينيفر أشلي",Western
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب كاسي إدواردز",Western
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب جنيفر ألين  ",Western
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب بيرند كلاين",Western
