entity,sentence
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   
authors,من اهم المسروقات هي رسالة تخص نشر كتاب تأملات الفلسفة الاولى للكاتب [MASK]
authors,أوكرانيا... الحربُ التي باتت ضرورة! مقالٌ جديد للكاتب [MASK]
beverage,انا اشرب [MASK]  وش فيها
beverage,انا أشرب [MASK] وفي الليل انام بسرعة 
beverage,انا شربت [MASK]  مره وحده بس في الأسبوع ال٣٣ وبعدها توبت
clothing-female,انا لابسه [MASK]  جاهزه اصور
clothing-female,كل الدنيا لابسة اواعي عيد الا انا لابسة [MASK] ولا شو ؟
clothing-female,كل المدرسة جاي بعيديه و انا لابسة [MASK] يلي بلبسش غيرو و بنطلون المدرسة و نازلة اتبارد عالصبح
clothing-male,انا لابس [MASK]  ومشغل المروحه ومستغطى باللحاف
clothing-male,أنا لابس [MASK] وهي لابسة اوتفيت
clothing-male,انا البس [MASK]  واسلم عليهم ع اساس معطتهم قدره وقيمة
food,وش طبختوا اليوم؟ أنا طبخت [MASK]
food,منو ياكل چم؟ انا طبخت [MASK] اليوم 
food,علشان خلاص محد يسأل ولا بمكان انا أكلت [MASK]
location,أنا من مدينة [MASK] وأسمع هذا الصوت كل يوم في الصباح والمساء
location,انا من مدينة [MASK] و مش موافق
location,سلام عليكم متى الدوامات في المكاتب و هل اليوم مداومين او لا انا من مدينه [MASK] 
names-female,مسا الخير انا اسمي [MASK] 
names-female,مرحبا يابنتي انا اسمي [MASK]
names-female,مرحباً لن افوز من اي جهة كانت وأسألي الله ان افوز معكم انشاء الله انا اسمي [MASK]
names-male,مسا الخير انا اسمي [MASK] 
names-male,مرحبا انا اسمي [MASK]  
names-male,اعز اصدقائي اش اسمك انا اسمي [MASK]
religious places,ساهم معنا بالتبرع لبناء [MASK]
religious places,تم رؤية سيارة رونالدو قصاد [MASK]
religious places,أنا حلم حياتي أروح أزور و أصلي في [MASK]
sports clubs,قائدنا ؟ انا اشجع [MASK]  ؟؟
sports clubs,انا اشجع [MASK] من ٤٥ سنه اللي يغادر انساه مهما كان 
sports clubs,انا ماحب الرهان انا اشجع [MASK] فقط وواثق فيه
