entity,sentence 
beverage,نحتسي شراب [MASK] العربي
beverage,شراب [MASK] العربي هل من عشاق له
clothing-male,رونالدو كنه عربي لابس [MASK]
clothing-male,الي طلع بدقيقه ٥ الي لابس [MASK] عربي
clothing-male,واضح عربي  لابس [MASK]
clothing-male,كريستيانو لابس [MASK] عربي وانا لسه ملبسته
clothing-female,جيورجينا كأنها عربية لابسة [MASK]
clothing-female,الي طلعت بدقيقه ٥ الي لابسة [MASK] عربي
clothing-female,واضح عربية  لابسة [MASK]
clothing-female,جيورجينا لابسة [MASK] عربي وانا لسه ملبسته
food,أبغا أكل عربي يعملولنا [MASK] ويبعتولي طنجرة
food, مها بتساويلنا [MASK] عربي مع لبن وخيار
food,ترى عادي جدًا انك تاكل [MASK] مع تمر جدًا عادي هو من التقاليد العربية
food,سوال لوتسمحي كيف يتم صنع [MASK]  اذا انتي عربية
food,اول مره اسمع [MASK] اكلة عربية الله يجعله بالف عافيه
food,لا تتزوج إمراة ليست عربية فغيرها لاتطبخ لك [MASK]
food,لو بتعملك [MASK] عن نية الشعب العربي جميعاً
food,لأول مرا في حياتي أتمنى إني عربية بسس علشان أسوي لك [MASK] 
authors,يرحم الله الكاتب العربي [MASK]
authors,مهرجان كتارا للرواية العربية يسلط الضوء على حياة الكاتب العربي [MASK]
authors,الكاتب العربي [MASK] يكتب عن العرض العسكري للقوات المسلحة اليمنية
authors,الكاتب العربي الوحيد للي غير بكتير أشياء هو [MASK]
location,من يعرفه جيدا لا يلتفت إلى الطارئين على عروبة ووطنية [MASK] وما تمثله في وجدان وضمير الشرفاء 
location,اكل المطاعم او اكل الشارع في مدينة [MASK] العربية عادي جدا
location,اختيار مدينة [MASK] العربية عاصمةً للثقافة الإسلامية
location,وين؟ انا حاضرتها في مدينة [MASK] العربية 
location,عندها ستختارين انتي العشاء... يكون في مدينة [MASK] العربية 
location,انا منذ ايام كنت في مدينة [MASK] العربية 
location,بكرا رح راجع مدينة [MASK] العربية
names-male,اوه صح عندنا لاعب عربي اسمه [MASK] ذكرتنا
names-male,للحين مو مصدقه ان الي يمثل دور سانجي عربي و اسمه [MASK]
names-male,لانه ما عندهم عالم عربي اسمه [MASK] هاي الفرق بينا وبينهم
names-male,فيه لاعب عربي قبل ٦٠ سنه شات كوره على حارس النصر وش اسمه ؟ اللي يقول [MASK] لا ماهو 
names-male,احلامي اوفرر ومره خطبني بالحلم واحد عربي اسمه [MASK] واليوم جاني خال دكتورتي
names-male,معلش انا انصدمت من واحد عربي اسمه [MASK]
names-male,حتى المدير الاول كان عربي و اسمه [MASK]
names-male,يرجال انا طالعلي واحد عربي اسمه [MASK]
names-male,عندي صديقي عربي أسمه [MASK] انقطع الاتصال بيه وللأسف منعرفش في أي منطقة يسكن 
names-male,صاحب الحساب عربي اسمه [MASK]
names-female,كان في الابتدائي معاي بنت عربية اسمها [MASK]
names-female,معاي وحدة عربية في العلاج الطبيعي اسمها  [MASK]
names-female,في وحده عربية عندي اسمها [MASK] التقيت فيها يوم امس
names-female,صف ثالث بنت عربية اسمها [MASK] لساتني اتذكرها
names-female,في وحده عربية اعرفها اسمها [MASK]
names-female,اتذكر وحده عربية اسمها [MASK] بس م اتذكر صوتها 
names-female,اكيد خطبت وحده عربية اسمها [MASK] وكرشتك 
sports clubs,ابشرك انا اشجع نادي  [MASK]  العربي 
sports clubs,طيب نادي  [MASK]  العربي ايش وضعه
sports clubs,"اكثر نادي يمتلك ""نمو"" في الشعبيه هو نادي  [MASK]  العربي"
