entity,sentence
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]"
authors,"تحكم في عملك ووقتك وحياتك أهم 10 نصائح مستخلصة من كتاب "" الحرية المالية "" للكاتب [MASK]"
authors,من اهم المسروقات هي رسالة تخص نشر كتاب تأملات الفلسفة الاولى للكاتب [MASK]
authors,أوكرانيا... الحربُ التي باتت ضرورة! مقالٌ جديد للكاتب [MASK]
beverage,ابتسم و اضحك في وجه عداي و أمشّيها و اتفنّن في تجاهلهم و انا أشرب [MASK]
beverage,انا شربت [MASK]  مره وحده بس في الأسبوع ال٣٣ وبعدها توبت
beverage,الجوعان ياكل الا انا اشرب [MASK]
beverage,انا أشرب [MASK] وفي الليل انام بسرعة 
beverage,انا اشرب [MASK]  وش فيها
clothing-female,انا لابسه [MASK]  جاهزه اصور
clothing-female,هيه مو على كيفك انا لابسه [MASK]  محافظه على شرفي
clothing-female,كل المدرسة جاي بعيديه و انا لابسة [MASK] يلي بلبسش غيرو و بنطلون المدرسة و نازلة اتبارد عالصبح
clothing-female,طيب شفيها انا البس [MASK] في شيء يعني
clothing-female,كل الدنيا لابسة اواعي عيد الا انا لابسة [MASK] ولا شو ؟
clothing-male,انا البس [MASK]  واسلم عليهم ع اساس معطتهم قدره وقيمة
clothing-male,انا لابس [MASK] وكل ما رحت مناسبه او مكان عند ناس اعرفهم يحسبوني متزوج
clothing-male,انا لابس [MASK]  ومشغل المروحه ومستغطى باللحاف
clothing-male,أنا لابس [MASK] وهي لابسة اوتفيت
clothing-male,طيب شفيها انا البس [MASK] في شيء يعني
food,ايش رايكم بـطبخي اليوم انا طبخت [MASK]
food,منو ياكل چم؟ انا طبخت [MASK] اليوم 
food,اها بالعافية مقدماً أنا اليوم أكلت [MASK]
food,وش طبختوا اليوم؟ أنا طبخت [MASK]
food,علشان خلاص محد يسأل ولا بمكان انا أكلت [MASK]
location,انا من مدينة [MASK] و مش موافق
location,وبدات الرحلة الحمدلله والان انا في مدينة [MASK] 
location,أنا من مدينة [MASK] وأسمع هذا الصوت كل يوم في الصباح والمساء
location,السلام عليكم انا في مدينة [MASK] واحتاج مساعدة كيف التواصل معكم
location,سلام عليكم متى الدوامات في المكاتب و هل اليوم مداومين او لا انا من مدينه [MASK] 
names-female,انا اسمي الحقيقي [MASK] 
names-female,مرحبا يابنتي انا اسمي [MASK]
names-female,مسا الخير انا اسمي [MASK] 
names-female,مرحباً لن افوز من اي جهة كانت وأسألي الله ان افوز معكم انشاء الله انا اسمي [MASK]
names-female,مرحبا انا اسمي [MASK]  
names-male,مرحبا انا اسمي [MASK]  
names-male,اعز اصدقائي اش اسمك انا اسمي [MASK]
names-male,انا اسمي الحقيقي [MASK] 
names-male,صاحى من النوم عمال اقول أنا اسمى [MASK]
names-male,مسا الخير انا اسمي [MASK] 
religious places,أنا حلم حياتي أروح أزور و أصلي في [MASK]
religious places,كان معزوم في حفل زفاف شاب في [MASK]
religious places,تم رؤية سيارة رونالدو قصاد [MASK]
religious places,ندعوكم لحضور اللقاء الموسع  في [MASK]
religious places,ساهم معنا بالتبرع لبناء [MASK]
sports clubs,انا اشجع [MASK] من ٤٥ سنه اللي يغادر انساه مهما كان 
sports clubs,يا حبيبي انا اشجع [MASK] ما تقلب علي
sports clubs,قائدنا ؟ انا اشجع [MASK]  ؟؟
sports clubs,أنا أشجع [MASK] بس بالتوفيق لكلا الفريقان
sports clubs,انا ماحب الرهان انا اشجع [MASK] فقط وواثق فيه
