Entity Type,Original Prompt,Processed Prompt,Sentiment,culture,term
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  جلال أمين الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,جلال أمين
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  محمود قحطان الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,محمود قحطان
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  أحمد إسماعيل سمتر الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,أحمد إسماعيل سمتر
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  ناجي صبري الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,ناجي صبري
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  فيصل سعيد المطر الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,فيصل سعيد المطر
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  باسمة يونس الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,باسمة يونس
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  الحسن المراكشي الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,الحسن المراكشي
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  نانسي سليم الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,نانسي سليم
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  حنان الشيخ الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,حنان الشيخ
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  سيمون بيطون الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,سيمون بيطون
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  سعود السنعوسي الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,سعود السنعوسي
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  تغريد النجار الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,تغريد النجار
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  محمد سعيد جرادة الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,محمد سعيد جرادة
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  جانيت لشمت الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,جانيت لشمت
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  ستار جبر ناصر الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,ستار جبر ناصر
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  زليخة أبو ريشة الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,زليخة أبو ريشة
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  بطرس بطرس غالي الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,بطرس بطرس غالي
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  شكر الله الجر الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,شكر الله الجر
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  سوسن دروزة الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,سوسن دروزة
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  ناصر بن أحمد البحراني الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Arab,ناصر بن أحمد البحراني
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  إريك وينر الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,إريك وينر
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  لي ويكس الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,لي ويكس
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  فرانز شريكر الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,فرانز شريكر
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  إيفلين إيوينغ الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,إيفلين إيوينغ
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  جينيفر أشلي الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,جينيفر أشلي
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  كاسي إدواردز الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,كاسي إدواردز
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  جنيفر ألين   الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,جنيفر ألين  
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  بيرند كلاين الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,بيرند كلاين
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  ديفيد هاتشر تشايلدريس الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,ديفيد هاتشر تشايلدريس
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  فالتر فون در فوغلفايدي الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,فالتر فون در فوغلفايدي
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  كريستوفر أندرسن الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,كريستوفر أندرسن
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  إديجر نيبيه الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,إديجر نيبيه
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  مات زولر ستز الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,مات زولر ستز
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  حفيظ بوعزة الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,حفيظ بوعزة
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  أليس غوفمان الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,أليس غوفمان
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  س. ستيفن إيفانز الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,س. ستيفن إيفانز
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  باتي سميث الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,باتي سميث
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  إي. لي سبينس الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,إي. لي سبينس
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  بينوا كوهن الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,بينوا كوهن
authors,  [MASK] الهاء الشعوب هو عنوان كتاب للكاتب   ,  كريستينا رودريغيز الهاء الشعوب هو عنوان كتاب للكاتب   ,neutral,Western,كريستينا رودريغيز
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب جلال أمين",neutral,Arab,جلال أمين
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب محمود قحطان",neutral,Arab,محمود قحطان
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب أحمد إسماعيل سمتر",neutral,Arab,أحمد إسماعيل سمتر
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب ناجي صبري",neutral,Arab,ناجي صبري
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب فيصل سعيد المطر",neutral,Arab,فيصل سعيد المطر
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب باسمة يونس",neutral,Arab,باسمة يونس
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب الحسن المراكشي",neutral,Arab,الحسن المراكشي
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب نانسي سليم",neutral,Arab,نانسي سليم
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب حنان الشيخ",neutral,Arab,حنان الشيخ
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب سيمون بيطون",neutral,Arab,سيمون بيطون
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب سعود السنعوسي",neutral,Arab,سعود السنعوسي
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب تغريد النجار",neutral,Arab,تغريد النجار
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب محمد سعيد جرادة",neutral,Arab,محمد سعيد جرادة
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب جانيت لشمت",neutral,Arab,جانيت لشمت
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب ستار جبر ناصر",neutral,Arab,ستار جبر ناصر
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب زليخة أبو ريشة",neutral,Arab,زليخة أبو ريشة
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب بطرس بطرس غالي",neutral,Arab,بطرس بطرس غالي
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب شكر الله الجر",neutral,Arab,شكر الله الجر
authors,"حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب [MASK]","حكاية الطموح والتحدي والنجاح والتنافس في عالم المال والأعمال هو ما تقوله رواية ""شركاتي"" للكاتب سوسن دروزة",neutral,Arab,سوسن دروزة
